Base Word,Level
aid,C1
aim,B1
aim to do sth,B1
air,A2
air conditioning,B1
air force,B1
aircraft,B2
airline,B1
airport,A2
alarm,B1
alarm clock,A2
alarming,C1
albeit,C2
album,A2
alcohol,A2
alcoholic,B1
alert,C1
alike,B1
alive,B1
all,A1
all along,B2
all at once,C1
all but,C2
all day long,B1
all hours,C1
all in all,B2
all is well,B1
all kinds of sth,A2
all of a sudden,B2
all over again,B2
all over somewhere,A2
all over the place,B2
all right,A1
all shapes and sizes,C2
all sorts of sth,A2
all the best,A2
"all the better/easier/more exciting, etc.",C2
all the time,A2
all the way,B2
all things considered,C1
all/just the same,C1
allegation,C1
allege,C2
alleged,C1
allegedly,C2
alliance,C2
allied,C2
allocate,C1
allocation,C2
allow,B1
allowance,C1
ally,C1
almost,A2
alone,A2
along,A2
along the lines of sth,C2
along with sb/sth,B2
alongside,C1
aloud,B1
alphabet,B1
alphabetical,B2
already,A2
alright,A1
also,A1
alter,B2
alteration,C1
alternate,C1
"alternate days/weeks/years, etc.",C1
alternative,B2
alternatively,B2
although,B1
altogether,B1
aluminium,B2
always,A1
amateur,C1
amazed,B1
amazement,B2
amazing,A2
amazingly,B1
ambassador,B2
ambiguity,C2
ambiguous,C2
ambition,B1
ambitious,B2
ambulance,A2
amend,C2
amendment,C1
"American/Italian, etc. by birth",B2
amid,C1
among,A2
among other things,B2
"among the best/worst/biggest, etc.",B2
amongst,B2
amount,B1
ample,C1
amuse,B2
amused,B2
amusement,B2
amusing,B1
an,A1
an appetite for something,C2
"an army/prison/refugee, etc. camp",B2
"an aspiring actor/politician/writer, etc.",C2
an authority on sth,C2
an awful lot (of sth),B2
an educated guess,C2
an element of sth,C2
an intimate knowledge/understanding of sth,C2
an invasion of privacy,C2
"an isolated case/event/example, etc.",C2
an unknown quantity,C2
an uphill battle/struggle/task,C2
analogous,C2
analogy,C2
analyse,B2
analysis,B2
analyst,B2
analytical,C1
ancestor,B2
anchor,C2
ancient,B1
and,A1
and all that,B1
and so on,A2
angel,B1
anger,B2
angle,C1
angrily,B1
angry,A2
animal,A1
animated,B1
animation,B1
ankle,B1
anniversary,B1
announce,B1
announcement,B1
annoy,B1
annoyance,C1
annoyed,B1
annoying,B1
annual,B1
annually,B2
anonymous,C2
another,A2
answer,A1
ant,B1
antibiotic,C2
anticipate,C1
anticipation,C2
antique,B1
anti-social,C1
anxiety,B2
anxious,B1
anxiously,B2
any,A1
"any day/minute/time, etc. now",B2
any more,A2
anybody,A2
anyhow,B2
anymore,A2
anyone,A2
anything,A1
anything like,B2
"anything/as/what/whatever, etc. you please",C2
anyway,A2
anywhere,A2
anywhere near sth,C1
apart,B1
apart from,B1
apartment,A2
apologetic,C2
apologise,B1
apology,B1
apostrophe,B2
appalling,C1
apparent,B2
apparently,B2
appeal,B2
appear,B1
"appear in/at/on, etc.",B1
appearance,B1
appetite,C1
applaud,C1
applause,C1
apple,A1
appliance,C1
application,B1
apply,B1
apply yourself,C2
appoint,C1
appointment,A2
appreciate,B2
appreciation,B2
approach,B1
appropriate,B2
appropriately,B2
approval,B2
approve,B1
approximate,B2
approximately,B1
April,A1
arbitrary,C2
arch,C2
archaeologist,C1
archaeology,C1
architect,B1
architecture,B1
area,A2
argue,B1
argument,B1
arid,C2
arise,C1
arm,A1
arm in arm,C2
armchair,A2
armed,B2
armed with sth,C2
army,C2
around,A2
around/round the clock,C1
around/round the corner,C2
arouse,C2
arrange,B1
arrangement,B1
arrest,B1
arrival,B1
arrive,A2
"arrive at an answer/conclusion/decision, etc.",C2
arrogant,B2
arrow,B2
art,A2
article,B1
artificial,B2
artificial intelligence,C2
artificially,B2
artist,A2
artistic,B2
"artistically/technically, etc. inclined",C2
arts,B2
as,A1
as ... as,A2
as a consequence,C1
as a matter of fact,B2
as a result of sth,B2
as a whole,B2
as far as I know,B2
as far as sb is concerned,B2
as far as sth is concerned,B2
as follows,B2
as for,B2
as if,B2
as if/as though,B2
as it happens,C1
as it stands,C2
as long as,B1
as many as,C1
"as much/quickly/soon, etc. as possible",A2
as opposed to,C2
as regards sth,B2
as soon as,B1
as soon as possible,A2
as the/its name implies,C2
as though,B2
as usual,A2
as well,A1
as well as,A2
as yet,C1
as you know,B1
as/so long as,B1
ashamed,B1
aside,B2
aside from sth,B2
ask,A1
ask yourself sth,C2
asleep,B1
aspect,B2
aspiration,C2
aspire to sth; aspire to do sth,C2
aspirin,B1
assault,C2
assemble,C2
assembly,C2
assert,C1
"assert your authority/control/independence, etc.",C2
assert yourself,C2
assertive,C2
assess,B2
assessment,B2
asset,C1
assign,C1
assign sb to sth,C2
assignment,C1
assist,B2
assistance,B2
assistant,B1
associate,C1
associate with sb,C2
association,B2
assume,B2
"assume control/power/responsibility, etc.",C2
assumption,C1
assurance,C1
assure,B2
astonished,B2
astonishing,B2
astonishment,B2
astronomy,C2
at,A1
at (long) last,B1
at a disadvantage,C2
at a glance,C1
at a loss,C2
at a loss for words,C2
at all,B1
at all costs,B2
at an angle,C1
at any price,C2
at any rate,C2
at best,C2
at ease,B2
at face value,C1
at fault,B2
at first,B1
at first sight,B2
at hand,C1
at heart,C2
"at his/its, etc. best",B1
at issue,C2
at least,A2
at length,C2
at once,B1
at one time or another,C2
at present,B1
at random,C1
at risk,B2
at sb's disposal,B2
at sb's expense,C2
at short notice,C1
at the best of times,C2
at the earliest,C2
at the expense of sth,C1
at the hands of sb,C2
at the latest,C2
at the moment,A2
at the same time,B1
"at the tender age of 8/17/25, etc.",C2
at the very least,C1
at this rate,C2
at times,C1
at your convenience,B2
at your fingertips,C2
at your own risk,C2
at/by your side,C2
at/from the outset,C2
athlete,B1
athletic,B2
athletics,B1
atmosphere,B1
atom,B2
atomic,B2
attach,B1
"attach importance/value, etc. to sb/sth",C2
attachment,B2
attack,B1
attain,C1
attainable,C2
attempt,B1
attend,B1
"attend a church/college/school, etc.",B1
attendance,C1
attention,B1
attitude,B1
attract,B1
"attract attention/interest, etc.",B1
attract/get (sb's) attention,B2
attraction,B1
attractive,A2
attribute,C2
attribute sth to sth,C2
aubergine,B2
auction,C1
audience,B1
audition,C1
August,A1
aunt,A2
authentic,C1
author,B1
authority,B2
authorize,C1
automatic,B2
automatically,B2
autumn,A2
availability,B2
available,A2
avenue,C1
average,B1
avoid,B1
avoid doing sth,B2
awake,B1
award,B2
aware,B2
awareness,C1
away,A2
awe,C2
awesome,A2
awful,B1
awkward,B2
baby,A1
babysit,B1
babysitter,B1
back,A1
"back (sth) away/into/out, etc.",C2
back and forth,C2
back off,C2
back out,C2
back road/street,C1
back to front,C2
back up (sth) or back (sth) up,B2
back up sb or back sb up,B2
back up sth or back sth up,C2
backache,B1
background,B1
backing,C2
backpack,B1
backpacker,B1
backpacking,B1
backup,B2
backward,C2
backwards,B1
bacon,B1
bacteria,C1
bad,A1
bad/ill feeling,C1
badge,B2
badly,A2
badminton,A2
bad-tempered,B2
bag,A1
baggage,B1
bake,A2
baker,B1
bakery,B2
balance,B2
balanced,B2
balcony,B1
bald,B1
ball,A1
ballet,B1
balloon,A2
ban,B2
banana,A1
band,A1
bandage,B1
bang,B2
bank,A1
bank account,B1
banker,B2
banking,B2
bankrupt,C1
bar,A1
barbecue,A2
barber,B1
bare,B2
barely,B2
bargain,B2
bark,B2
barman,B1
barn,C2
barrier,B2
base,B2
base sth on sth,B1
baseball,A2
basement,B2
basic,B1
basically,B2
basin,B1
basis,B2
basket,B1
basketball,A1
bat,A2
bath,A1
bathroom,A1
battery,A2
battle,B1
bay,B1
be,A1
be (just) about to do sth,B1
be (like) water off a duck's back,C2
be (of) any/some use,B2
be (of) no use,B2
be ... years old,A1
be a bad/good influence (on sb),B2
be a disgrace,B2
be a disgrace to sb/sth,C2
be a far cry from sth,C1
be a first,C2
be a joke,C1
be a pain,B2
be a pain in the neck,C1
be a piece of cake,B2
be a question of,C1
be a rarity,C1
"be a recipe for disaster/success/trouble, etc.",C2
be a revelation,C2
be able to do sth,A2
be absorbed in sth,B2
be aimed at doing sth,C2
be aimed at sb,B2
be alive and kicking/well,C2
be all set,C1
be all very well,C1
be an effort,C2
be an inspiration to sb,C2
be around,B2
be ashamed of sb,B2
be associated with sth,B2
be at a premium,C2
be at liberty to do sth,C2
be at odds with sb/sth,C2
be at stake,C2
be at the mercy of sb/sth,C2
be at/on the point of doing sth,B2
be at/reach the end of your tether,C2
be attracted to sb,B2
be authorized to do sth,C1
be bad for sb/sth,A2
be bad/good news for sb,C1
be based at/in/etc.,B2
be beside yourself (with sth),C2
be blind to sth,C2
be born,A2
"be bursting with confidence/joy, etc.",C2
be calculated to do sth,C2
be called sth,A1
be called up,C2
be close to sth,C1
be coming along/on,C2
be coming up,B2
be concerned with sth,C1
be confronted by/with sth,C2
be conscious of/that,B2
be consumed by/with sth,C2
be crawling with sb/sth,C2
be crazy about sb/sth,A2
be crying out for sth,C2
be dead (set) against sth/doing sth,C1
be descended from sb/sth,C2
be designed for/to do sth,B2
be disposed to do sth,C2
be down in the dumps,C2
be down to sb,C2
be due for sth,C1
be dying for/to do sth,B1
be endowed with sth,C2
be expecting (a baby),B2
be expecting sb/sth,B1
be exposed to sth,B2
be familiar with sth/sb,B2
be far removed from sth,C2
be flooded with sth,C2
be fond of sb/sth,B1
be foreign to sb,C2
be found,B2
be friendly with sb,B1
be friends (with sb),B1
be full of yourself,C2
be getting at sth,C1
be glad of sth,C1
be glued to sth,C2
be going to do sth,A2
be going to do/be sth,A2
be good company,C1
be hard on sb,B2
be heading for sth,B2
be hungry for sth,C2
be in a dream,B2
be in a mood,B2
be in a position to do sth,C1
be in awe of sb,C2
be in bad/poor taste,C2
be in charge,B1
be in doubt,B2
be in favour of sth,B2
be in for sth,C2
be in good taste,C2
be in good/bad repair,C2
be in line with sth,C2
be in luck,C1
be in need of sth,B2
be in position,C1
be in sb's good/bad books,C2
be in sb's hands,C1
be in sb's interest(s),C1
be in the middle of (doing) sth,B1
be in the mood for sth/to do sth,C2
be in the process of doing sth,C2
be in the public eye,C1
be in the same boat,C2
be in tune with sb/sth,C2
be in two minds,C1
"be inclined to think/believe/agree, etc.",C1
be intended for,C1
be intent on sth/doing sth,C2
be into sth,B1
be itching to do sth,C2
be just about to do sth,B1
be key to sth,C1
be known as sth,B1
be known to do sth,C1
be lacking,C2
be lacking in sth,C1
be led by sth,C2
be liable to do sth,C2
be located in/near/on/etc.,B1
be looking to do sth,C2
be lost for words,C2
be lost without sb/sth,C1
be mad about sb/sth,B1
be made from/(out) of sth,A2
be meant for sb/sth,C1
be meant to do sth,C2
be misunderstood,C2
be news to sb,C2
be no good or be not any/much good,B2
be no laughing matter,C2
be no match for sb/sth,C2
be no mean feat,C2
be no use doing sth,B2
be none of sb's business,B2
be nothing if not sth,C2
be obliged to do sth,B2
be obsessed by/with sb/sth,B2
be on (good) form,C2
be on (your) guard,C2
"be on a committee/panel, etc.",C1
be on cloud nine,C2
be on edge,C2
"be on good/bad/friendly, etc. terms",C2
be on the ball,C1
be on the brink of sth,C2
be on the cards,C2
be on the same wavelength,C2
be on the verge of sth/doing sth,C2
be only human,C2
be opposed to sth,C1
be out of breath,B2
be out of practice,B2
be out of sth,B2
be out of the question,C2
be out of this world,C2
be over the moon,B2
"be overcome by excitement/fear/sadness, etc.",C2
be poles apart,C2
be poor in sth,B2
be populated,C1
"be posted to France/London/Singapore, etc.",C2
be prepared to do sth,B2
be prone to sth/doing sth,C2
be reliant on sb/sth,C2
be responsible for sb/sth/doing sth,B1
be responsible for sth/doing sth,B2
be revolted by sth,C2
be running at sth,C2
be said to be,B2
be satisfied that,C1
be seated,B2
be short of sth,B1
be sick,B1
be sick of sth,B2
"be situated in/on/by, etc.",B1
be slow to do sth; be slow in doing sth,C2
be snowed in,C2
be snowed under,C2
be something,C2
be still going strong,C2
be streets ahead (of sb/sth),C2
be suited to/for sth,C1
be supposed to be sth,B2
be supposed to do sth,B1
be sure of sth,B2
be sure of yourself,B2
be sure to do sth,C1
be taken in,B2
be tempted,B2
be the case,B2
be the centre of attention,C2
be the envy of sb,C2
be the tip of the iceberg,C2
be to blame,C1
be too proud (to do sth),B2
be topped with sth,C2
be trapped,B2
be unable to do sth,B1
be unclear about sth,B2
be under the impression,B2
be under way,C2
be unfamiliar with sth,B2
be unique to sb/sth,C1
be up to sb,B1
be up to sth,B1
be used to sb/sth/doing sth,B1
be wasted on sb,C2
be welcome to do sth,B1
be wide awake,C2
be willing (to do sth),B1
be without foundation; have no foundation,C2
be worth,B1
be worth it,B1
be worth sth/doing sth,B1
be worth your while,C2
be wrong,A2
be/come close to doing sth,C1
be/feel on top of the world,C2
be/feel under the weather,C2
be/get carried away,B2
be/get caught,C2
be/get caught up in sth,C2
be/get hooked on sth,B2
be/get involved (in/with sth),B2
be/get out of touch,C2
be/get stuck with sb/sth,C2
"be/get swept along/away, etc.",B2
"be/get/keep, etc. in touch",B1
be/hang in the balance,C2
be/have nothing to do with sb,B2
be/have something to do with sth/sb,C1
be/have to do with sth,B2
be/have yet to do sth,C2
be/lie in ruins,C1
be/mean everything,B2
be/run counter to sth,C2
beach,A1
beak,C1
beam,B2
bean,A2
bear,A2
bear (sb/sth) in mind,B2
bear a grudge,C2
"bear a/little/no, etc. resemblance to sth/sb",C2
"bear a/no resemblance/relation, etc. to sb/sth",C2
bear fruit,C2
bear left/right,C1
bear/keep sb/sth in mind,B2
beard,A1
beat,B1
beat about/around the bush,C1
beat up sb or beat sb up,B2
beautiful,A1
beautifully,B1
beauty,B1
because,A1
because of,B1
become a reality,B2
"become available/rich/a writer, etc.",A2
bed,A1
bedroom,A1
bee,B1
beef,B1
beer,A1
before,A1
before (very/too) long,B2
before you know it,C1
before/after dark,B1
beg,B2
begin,A1
begin with sth,B1
beginner,A2
beginning,A2
behave,B1
behaviour,B1
behind,A1
behind bars,B2
behind closed doors,C2
behind sb's back,C2
behind the scenes,C2
behind the times,C1
belief,B2
believe,A2
believe in sth,B1
believe in sth/doing sth,B2
believe it or not,B1
bell,B1
belong,B2
belong to sb,A2
belong to sth,B1
belongings,B2
below,A1
belt,A2
bench,B2
bend,B2
bend/stretch the rules,C2
beneath,B2
beneath your dignity,C2
beneficial,B2
benefit,B1
berry,B2
beside,A2
beside the point,C2
besides,B1
best,A1
best wishes,A2
bestseller,B2
bet,C1
betray,B2
better,A1
"better/faster/happier, etc. than ever",C1
better/worse still,B2
between,A1
beware,C1
beyond,B2
beyond (sb's) reach,C2
beyond belief,C2
beyond dispute,C2
"beyond my/our, etc. control",B2
beyond your wildest dreams,C2
beyond your/out of control,B2
beyond/without a/the shadow of a doubt,C2
bias,C2
biased,C1
bicycle,A2
bid,C1
big,A1
bike,A2
bikini,B2
bilingual,C1
bill,A2
billion,B2
bin,B1
bind,C2
biography,B1
biological,B2
biology,A2
bird,A1
birth,B1
birthday,A1
biscuit,A1
bit,A2
bit by bit,C1
bite,B1
bits and pieces,C2
bitter,B1
bizarre,B2
black,A1
blackboard,A2
blackmail,C2
blade,B2
blame,B1
bland,C2
blank,B1
blanket,A2
bleak,C2
bleed,B1
blend,C2
blind,B1
blindness,C1
blink,B2
blister,C2
block,B1
blog,B1
blogger,B1
blonde,A2
blood,A2
bloody,B2
blow,B1
blow away (sth) or blow (sth) away,B1
blow down (sth) or blow (sth) down,B1
blow it/your chance(s),C2
blow out (sth) or blow (sth) out,B1
blow up (sth/sb) or blow (sth/sb) up,B1
blow up sth or blow sth up,B2
blow your mind,C2
blow your nose,B1
blue,A1
blunt,C2
blush,B2
board,A1
board game,A2
boast,B2
boat,A1
body,A1
body and soul,C2
boil,A2
boiled,A2
boiling,B2
bold,B1
boldly,B2
bomb,B1
"bomb/drug/fraud, etc. squad",C2
bomber,B2
bombing,B2
bond,B2
bone,B1
bonus,B2
book,A1
book sb in or book sb into sth,B1
bookcase,A2
booking,B1
booklet,B2
bookmark,B2
bookshelf,A2
bookshop,A2
boost,B2
boot,A2
border,B1
bored,A1
"bored/frightened/scared, etc. to death",B2
"bored/scared/worried, etc. stiff",B2
boring,A1
borrow,A2
boss,A2
bossy,B2
both,A1
bother,A2
bothered,B2
bottle,A2
bottom,A1
bounce,B2
"bounce along/around/into, etc.",B2
bounce back,C1
bound,C1
bound to do sth,B2
bound up with sth,C2
boundary,C1
bow,B2
bowl,A2
box,A1
boxing,B1
boy,A1
boyfriend,A2
bra,B2
bracelet,B1
bracket,B2
brain,A2
brake,B1
branch,B1
brand,B2
brand new,B1
brass,C1
brave,B1
bravely,B1
bravery,B2
bread,A1
break,A2
break a record,B2
"break an agreement/promise, etc.",B2
break down,B1
break even,C1
break free,C2
break in or break into sth,B1
break new ground,C2
break off (sth) or break (sth) off,B2
break out,B2
break sb's heart,B2
break the ice,B2
break the law,B2
break the news to sb,C2
break through sth,B2
break up,B1
"break your arm/leg, etc.",A2
"break/cut, etc. sth in half",B1
breakable,B2
breakdown,B2
breakfast,A1
breakthrough,B2
breast,B1
breath,B1
breathe,B1
breathtaking,B2
breed,B2
"breed contempt/ignorance, etc.",C2
breeze,B1
bribe,C1
bribery,C2
brick,B2
bride,B1
bridge,A2
brief,B1
briefly,B1
bright,A2
brightly,B2
brilliant,A2
brilliantly,B2
bring,A2
"bring (sb) happiness/luck/peace, etc.",B1
bring a lump to your throat,C2
bring back sth or bring sth back,A2
bring out sth or bring sth out,B2
bring out the best in sb,C2
bring sth to an end,C1
bring sth to light,C2
bring up sb or bring sb up,B1
bring up sth or bring sth up,B2
broad,B1
broadband,B2
broadcast,B2
broaden,C1
broaden/expand/widen your horizons,C1
broadly,C1
broadminded,C2
broccoli,B1
brochure,B1
broken,A2
"broken English/Spanish, etc.",C1
bronze,C1
brother,A1
brother-in-law,B2
brown,A1
browse,B2
browser,B2
bruise,B2
brush,A2
"brush sth away/off, etc.",C1
brush up (on) sth,C1
brutal,C1
bubble,C1
"bubble (over) with confidence/enthusiasm, etc.",C1
bucket,B1
budget,B2
bug,B1
build,A2
build (sth) up or build up (sth),C1
builder,B1
building,A2
bulb,B2
bulky,C1
bull,B1
bullet,B2
bully,C1
bump,B2
bump against/into sth,B2
bump into sb,C1
bumper,B2
bun,B2
bunch,B1
bundle,C2
burden,C1
bureaucracy,C2
burger,A2
burglar,B2
burglary,B2
burgle,B2
burial,C2
burn,B1
burn down (sth) or burn (sth) down,B2
burn out,B2
burn the midnight oil,C2
burn up sth or burn sth up,B2
burning,B1
"burning ambition/desire, etc.",C1
burst,B2
burst into flames,C2
burst into sth,B2
burst into tears,B1
burst out,B2
bury,B1
bury your face/head in sth,C2
bury yourself in sth,C2
bus,A1
bus station,A2
bus stop,A2
bush,B2
business,A1
businessman,A2
businesswoman,A2
busy,A2
but,A1
butcher,B1
butt in,C2
butter,A1
butterfly,B1
button,B1
buy,A1
buyer,B1
buzz,C2
by,A2
by accident,B1
"by accident/mistake, etc.",B1
by all accounts,C1
by all means,C2
by and large,C1
by any chance,C2
by far,B2
by hand,B1
by heart,B2
by law,C1
by means of,C1
by mistake,B1
by no means; not by any means,C1
by the same token,C2
by the way,A2
by virtue of sth,C2
by way of sth,C1
by/in contrast,B2
by/in leaps and bounds,C2
bye,A1
cab,B1
cabbage,B1
cabin,B1
cabinet,B2
cable,B1
café,A1
cage,B1
cake,A1
calculate,B2
calculation,B2
calculator,B1
calendar,A2
calf,B1
call,A2
"call an election/meeting, etc.",C1
call back,B2
call back (sb) or call (sb) back,A2
call for sb,B1
call for sth,C2
call in,B2
call in sick,B2
call it a day,C2
call off sth or call sth off,B2
call on sb to do sth,C1
call sb names,C2
call up sth or call sth up,C2
calm,B1
calm down (sb) or calm (sb) down,B2
calmly,B2
camel,B1
camera,A1
camp,A2
campaign,C1
camping,A2
campsite,B1
campus,B2
can,A1
can afford,B1
can tell,B2
can work sth; know how to work sth,C1
"can/can't/could, etc. reach (sth)",B2
can/could always do sth,B1
canal,B1
cancel,B1
cancellation,C1
cancer,B1
candidate,B1
candle,B1
canned,B2
cannot,A1
cannot afford,C2
can't be bothered,B2
can't face sb/sth/doing sth,B2
can't keep/take your eyes off sb/sth,B2
can't stand sb/sth,B1
can't take sth,B2
can't wait,A2
can't/couldn't get over sth,B2
can't/couldn't help doing sth,B1
can't/couldn't very well do sth,C2
canteen,B1
cap,A2
capability,C1
capable,B2
capable of sth/doing sth,B2
capacity,B2
capital,A2
capital letter,A2
capitalism,C2
capitalist,C2
captain,B1
capture,B2
"capture sb/sth on camera/film, etc.",B2
capture sb's attention/ imagination/ interest,C1
car,A1
car park,A2
carbon,B2
carbon dioxide,B2
carbon footprint,B2
carbon monoxide,B2
card,A2
cardboard,B2
cardigan,B2
care,B1
care for sb/sth,B2
career,B1
carefree,C2
careful,A2
carefully,A2
careless,B1
carelessly,B2
carelessness,B2
cargo,C2
caring,B2
carnival,B2
carpet,A2
carriage,C1
carrot,A2
carry,A1
carry on (sth) or carry (sth) on,B1
carry out sth or carry sth out,B1
carry weight,C2
cartoon,A2
carve,C2
case,A2
cash,A2
cashpoint,B1
casserole,C2
cast,B2
cast a spell on sb,C2
cast a/your vote,C2
